,precision,recall,f1-score,support
Normal,0.9354838709677419,0.9785276073619632,0.9565217391304348,326.0
Suspect,0.8653846153846154,0.6617647058823529,0.75,68.0
Pathological,0.8787878787878788,0.90625,0.8923076923076924,32.0
accuracy,0.9225352112676056,0.9225352112676056,0.9225352112676056,0.9225352112676056
macro avg,0.8932187883800786,0.8488474377481053,0.8662764771460424,426.0
weighted avg,0.9200354645606804,0.9225352112676056,0.9187322373482815,426.0
