,precision,recall,f1-score,support
Normal,0.9578313253012049,0.9754601226993865,0.9665653495440729,326.0
Suspect,0.8333333333333334,0.7758620689655172,0.8035714285714286,58.0
Pathological,0.95,0.9047619047619048,0.926829268292683,42.0
accuracy,0.9413145539906104,0.9413145539906104,0.9413145539906104,0.9413145539906104
macro avg,0.9137215528781795,0.8853613654756028,0.8989886821360615,426.0
weighted avg,0.9401087919754133,0.9413145539906104,0.9404560471286463,426.0
