,precision,recall,f1-score,support
Normal,0.9213051823416507,0.97165991902834,0.9458128078817734,494.0
Suspect,0.8095238095238095,0.5930232558139535,0.6845637583892618,86.0
Pathological,0.9444444444444444,0.8793103448275862,0.9107142857142857,58.0
accuracy,0.9122257053291536,0.9122257053291536,0.9122257053291536,0.9122257053291536
macro avg,0.8917578121033015,0.8146645065566266,0.847030283995107,638.0
weighted avg,0.9083410430620702,0.9122257053291536,0.907406644022729,638.0
