,precision,recall,f1-score,support
Normal,0.9431137724550899,0.9662576687116564,0.9545454545454546,326.0
Suspect,0.7777777777777778,0.7241379310344828,0.75,58.0
Pathological,0.9473684210526315,0.8571428571428571,0.9,42.0
accuracy,0.9225352112676056,0.9225352112676056,0.9225352112676056,0.9225352112676056
macro avg,0.8894199904284997,0.8491794856296654,0.8681818181818182,426.0
weighted avg,0.9210227103654484,0.9225352112676056,0.9213188220230474,426.0
